count,confidence,sentence_number,document_id,head,relation,tail
6,"[0.0040204948745667934, 0.002250616904348135, 0.0016449344111606479, 0.001120810047723353, 0.001866714097559452, 0.0031370569486171007]","[2, 25, 59, 177, 190, 194]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",Jeg,",",det
5,"[0.0017067200969904661, 0.003480736166238785, 0.001898842048831284, 0.0017633364768698812, 0.005495692603290081]","[2, 25, 59, 177, 194]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",det,",",Jeg
1,[0.012734273448586464],[2],['interview_D2.txt'],det,bliver,arbejde
2,"[0.000654791365377605, 0.000986624276265502]","[2, 2]","['interview_D2.txt', 'interview_D2.txt']",det,arbejde,det
1,[0.0004747741622850299],[2],['interview_D2.txt'],arbejde,det,Jeg
1,[0.016073070466518402],[2],['interview_D2.txt'],arbejde,mere,det
1,[0.00010262169962516055],[2],['interview_D2.txt'],det,mere,Jeg
1,[0.0006916195852681994],[5],['interview_D2.txt'],Jeg,har,alle de der børnevacciner
1,[5.4677477843749024e-05],[5],['interview_D2.txt'],Jeg,fået alle de der børnevacciner,man
1,[0.0002244145143777132],[5],['interview_D2.txt'],selv,alle de der børnevacciner,man
1,[0.0014987471513450146],[5],['interview_D2.txt'],alle de der børnevacciner,har,Jeg
1,[0.0001432808639947325],[5],['interview_D2.txt'],man,alle de der børnevacciner,Jeg
1,[0.00016314449021592736],[5],['interview_D2.txt'],man,alle de der børnevacciner,selv
1,[0.0003877366834785789],[5],['interview_D2.txt'],man,for,30 år
1,[0.0016143328975886106],[5],['interview_D2.txt'],30 år,for,man
1,[0.0001492072333348915],[5],['interview_D2.txt'],30 år,",",hvad
1,[0.00021715839102398604],[5],['interview_D2.txt'],hvad,",",30 år
1,[0.0001984843547688797],[5],['interview_D2.txt'],det,",",30 år
1,[0.00017093971837311983],[6],['interview_D2.txt'],jeg,lige,hvad
1,[0.000733790744561702],[7],['interview_D2.txt'],to børn,",",de
1,[0.0007790796225890517],[7],['interview_D2.txt'],de,og,to børn
2,"[0.0005257173324935138, 0.000702482822816819]","[7, 42]","['interview_D2.txt', 'interview_D2.txt']",de,har,det
1,[0.0002756078029051423],[7],['interview_D2.txt'],det,de,so far
1,[9.992891864385456e-05],[7],['interview_D2.txt'],det,have,de
1,[0.00022576375340577215],[7],['interview_D2.txt'],de,alt,de
1,[0.000483612617244944],[7],['interview_D2.txt'],de,",",so far
1,[4.0869250369723886e-05],[7],['interview_D2.txt'],de,",",de
1,[0.00038729264633730054],[7],['interview_D2.txt'],so far,have,det
1,[0.0004940346116200089],[7],['interview_D2.txt'],so far,have,de
1,[0.001633748528547585],[8],['interview_D2.txt'],jeg,har,børn
1,[0.0012572065461426973],[8],['interview_D2.txt'],børn,har,jeg
1,[0.006434095557779074],[8],['interview_D2.txt'],børn,med,lægen
1,[0.0010385885834693909],[8],['interview_D2.txt'],lægen,har,jeg
1,[0.017286233603954315],[8],['interview_D2.txt'],lægen,med,børn
2,"[0.0007447885000146925, 0.0019117692718282342]","[10, 154]","['interview_D2.txt', 'interview_D2.txt']",andet,et,jeg
1,[0.00018027251644525677],[10],['interview_D2.txt'],andet,nåle,jeg
1,[0.0007448695250786841],[10],['interview_D2.txt'],nåle,",",jeg
1,[0.00020572067296598107],[10],['interview_D2.txt'],jeg,nåle,andet
1,[0.0013269708724692464],[10],['interview_D2.txt'],jeg,bedre,det
1,[0.00036349950823932886],[10],['interview_D2.txt'],jeg,bedre,min kone
1,[0.0010100696235895157],[10],['interview_D2.txt'],det,bedre,jeg
1,[0.000504627707414329],[10],['interview_D2.txt'],det,min kone,eksempel
1,[0.00038459236384369433],[10],['interview_D2.txt'],min kone,det,jeg
1,[0.00039700258639641106],[10],['interview_D2.txt'],eksempel,min kone,det
9,"[0.0018509379588067532, 0.001154060591943562, 0.00031742051942273974, 0.0013380073942244053, 0.0009671399602666497, 0.004462732933461666, 0.004193673375993967, 0.001705598901025951, 0.003991231322288513]","[11, 26, 112, 120, 159, 206, 208, 352, 365]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",det,",",der
1,[0.0003397950786165893],[11],['interview_D2.txt'],det,",",vores børn
1,[0.0009556054137647152],[11],['interview_D2.txt'],mig,",",vores børn
3,"[0.0018768282607197762, 0.002676938660442829, 0.0031848864164203405]","[11, 113, 352]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",der,er,det
2,"[0.00013982687960378826, 0.00023658620193600655]","[11, 28]","['interview_D2.txt', 'interview_D2.txt']",der,",",de
1,[0.0014040246605873108],[11],['interview_D2.txt'],vores børn,der,mig
1,[0.00028347354964353144],[11],['interview_D2.txt'],vores børn,",",de
1,[0.00021216552704572678],[11],['interview_D2.txt'],de,vores børn,der
1,[0.00046273821499198675],[11],['interview_D2.txt'],de,",",vores børn
1,[0.0004352233372628689],[11],['interview_D2.txt'],de,skal,de nåle
1,[0.013162384741008282],[13],['interview_D2.txt'],Det,sådan,man
1,[0.0035960173700004816],[13],['interview_D2.txt'],man,sådan,Det
1,[0.0006244158139452338],[15],['interview_D2.txt'],Det,jeg,det
13,"[0.003862173529341817, 0.00017005989502649754, 0.001094214036129415, 0.0004216115630697459, 0.0003606191312428564, 0.0007077096379362047, 0.00044079351937398314, 6.236264016479254e-05, 0.0005810606526210904, 0.00016649159078951925, 0.0002876689250115305, 0.0017720503965392709, 0.0010498985648155212]","[15, 56, 102, 135, 169, 183, 209, 210, 236, 240, 244, 302, 312]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",jeg,",",det
1,[0.00046190229477360845],[15],['interview_D2.txt'],det,jeg,Det
4,"[0.002197770867496729, 0.00029562844429165125, 0.0006696333875879645, 0.003067469224333763]","[15, 175, 183, 277]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",det,ikke,jeg
1,[0.00020579152624122798],[16],['interview_D2.txt'],det,",",man
3,"[0.0002030385221587494, 0.0006158644682727754, 0.0003096112923230976]","[16, 343, 363]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",man,",",det
1,[0.0054815784096717834],[16],['interview_D2.txt'],man,kunne,mange ting
1,[0.005518057383596897],[16],['interview_D2.txt'],mange ting,kunne,man
1,[0.0007965964614413679],[16],['interview_D2.txt'],der,",",man
1,[0.005134161561727524],[17],['interview_D2.txt'],det,mig,noget
1,[0.004820562433451414],[17],['interview_D2.txt'],noget,mig,det
1,[0.008994581177830696],[18],['interview_D2.txt'],Det,mig,noget
1,[0.0006935564451850951],[18],['interview_D2.txt'],Det,ikke,de
1,[0.0005589438951574266],[18],['interview_D2.txt'],mig,ikke,de
1,[0.0036207425873726606],[18],['interview_D2.txt'],noget,ikke,Det
1,[0.0008960667764768004],[18],['interview_D2.txt'],noget,at,de
1,[0.0002637625439092517],[18],['interview_D2.txt'],de,ikke,Det
1,[0.0006324507994577289],[18],['interview_D2.txt'],de,ikke,mig
1,[0.0027811971958726645],[18],['interview_D2.txt'],de,",",noget
1,[0.0007309537031687796],[18],['interview_D2.txt'],de,med,de nåle
1,[0.001327758887782693],[18],['interview_D2.txt'],de nåle,stikkes,de
1,[0.0014346293173730373],[20],['interview_D2.txt'],Det,ikke,jeg
1,[0.0014715197030454874],[20],['interview_D2.txt'],jeg,at,Det
2,"[0.0030363297555595636, 0.0008162971935234964]","[20, 209]","['interview_D2.txt', 'interview_D2.txt']",jeg,kan,det
2,"[0.0033372691832482815, 0.0015338750090450048]","[20, 209]","['interview_D2.txt', 'interview_D2.txt']",det,kan,jeg
1,[0.004065862391144037],[20],['interview_D2.txt'],det,i,kroppen
1,[0.005456371232867241],[20],['interview_D2.txt'],kroppen,i,det
1,[0.00012617195898201317],[20],['interview_D2.txt'],andet,der,kroppen
1,[0.00044637455721385777],[20],['interview_D2.txt'],andet,krymper,mig
1,[0.0006152905989438295],[20],['interview_D2.txt'],andet,krymper,noget
1,[8.653200347907841e-05],[20],['interview_D2.txt'],andet,i,nej
1,[0.00029484485276043415],[20],['interview_D2.txt'],mig,krymper,andet
2,"[0.001404638052918017, 0.00018843499128706753]","[20, 20]","['interview_D2.txt', 'interview_D2.txt']",mig,",",nej
1,[7.244444714160636e-05],[20],['interview_D2.txt'],mig,nej,det
1,[0.00017648555513005704],[20],['interview_D2.txt'],noget,krymper,andet
1,[0.00281314505264163],[20],['interview_D2.txt'],noget,nej,nej
1,[6.55419789836742e-05],[20],['interview_D2.txt'],noget,nej,det
1,[0.0018967508804053068],[20],['interview_D2.txt'],nej,noget,mig
1,[0.0014523377176374197],[20],['interview_D2.txt'],nej,",",det
1,[0.0003553388814907521],[20],['interview_D2.txt'],nej,",",mig
1,[0.0024446379393339157],[20],['interview_D2.txt'],nej,nej,noget
1,[0.00016809177759569138],[20],['interview_D2.txt'],det,nej,mig
1,[0.00029634544625878334],[20],['interview_D2.txt'],det,nej,noget
1,[0.005297291558235884],[20],['interview_D2.txt'],det,",",nej
2,"[0.00044488985440693796, 0.00036071371869184077]","[21, 83]","['interview_D2.txt', 'interview_D2.txt']",Det,",",det
2,"[0.0005189031944610178, 0.0008880114182829857]","[21, 31]","['interview_D2.txt', 'interview_D2.txt']",det,",",Det
1,[0.00013460633635986596],[25],['interview_D2.txt'],det,lidt,min kone
1,[5.925337245571427e-05],[25],['interview_D2.txt'],min kone,lidt,det
1,[0.0007592395413666964],[25],['interview_D2.txt'],hun,",",hun
1,[0.0014614341780543327],[25],['interview_D2.txt'],typen,hun,min kone
1,[0.0025627501308918],[25],['interview_D2.txt'],typen,",",hun
1,[8.325187081936747e-05],[25],['interview_D2.txt'],typen,",",det
1,[0.005885408725589514],[25],['interview_D2.txt'],hun,",",typen
1,[0.0005445807473734021],[25],['interview_D2.txt'],hun,",",det
2,"[5.1377468480495736e-05, 0.0008856576750986278]","[25, 25]","['interview_D2.txt', 'interview_D2.txt']",det,",",hun
1,[5.54240687051788e-05],[25],['interview_D2.txt'],det,",",typen
1,[0.0006674178875982761],[25],['interview_D2.txt'],det,lidt,maven
1,[0.00019769517530221492],[25],['interview_D2.txt'],det,lidt,hende
1,[0.0005904395948164165],[25],['interview_D2.txt'],maven,krymper,det
1,[0.00024190076510421932],[25],['interview_D2.txt'],maven,",",børnene
1,[7.536023379846786e-06],[25],['interview_D2.txt'],maven,børnene skal,noget
1,[0.000758696289267391],[25],['interview_D2.txt'],hende,",",børnene
1,[1.3736839415893579e-05],[25],['interview_D2.txt'],hende,børnene skal,noget
1,[0.00042741838842630386],[25],['interview_D2.txt'],børnene,",",maven
1,[0.0013408559607341886],[25],['interview_D2.txt'],børnene,",",hende
1,[0.0005130123463459313],[25],['interview_D2.txt'],børnene,stikkes,noget
1,[0.0007052988512441516],[25],['interview_D2.txt'],noget,stikkes,børnene
1,[1.4746251205603281e-05],[26],['interview_D2.txt'],hun,"mig ,",sted
1,[0.00016547154518775642],[26],['interview_D2.txt'],det,",",sted
1,[0.0006127453525550663],[26],['interview_D2.txt'],mig,",",sted
6,"[0.003188841976225376, 0.00041778769809752703, 0.002110372995957732, 0.0034081884659826756, 0.003258752403780818, 0.0025711259804666042]","[26, 112, 154, 206, 208, 365]","['interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt', 'interview_D2.txt']",der,",",det
1,[0.0027062848675996065],[26],['interview_D2.txt'],der,af,sted
1,[0.008138211444020271],[26],['interview_D2.txt'],sted,tog,der
1,[0.0017439875518903136],[28],['interview_D2.txt'],jeg,ud,stedet
1,[0.001653179875575006],[28],['interview_D2.txt'],stedet,ud,jeg
1,[0.0018890497740358114],[28],['interview_D2.txt'],stedet,at,de
1,[5.149914917031613e-06],[28],['interview_D2.txt'],stedet,", og",den
1,[0.0017762946663424373],[28],['interview_D2.txt'],de,at,stedet
1,[0.0011049472959712148],[28],['interview_D2.txt'],hun,ikke,den
1,[0.003212827257812023],[28],['interview_D2.txt'],den,ikke,hun
1,[0.0017566467868164182],[28],['interview_D2.txt'],den,",",dem
1,[0.0007450488046742976],[28],['interview_D2.txt'],der,ikke,hun
1,[0.002078586257994175],[28],['interview_D2.txt'],dem,der,den
1,[0.0005795799079351127],[28],['interview_D2.txt'],dem,",",de
1,[0.0002541215217206627],[28],['interview_D2.txt'],de,",",der
1,[0.0010468880645930767],[28],['interview_D2.txt'],de,",",dem
1,[0.00040592392906546593],[32],['interview_D2.txt'],arbejde,godt,Hun
